location_id,on_date,min_temp_c,max_temp_c,precip_mm,conditions,source
1,2025-10-20,13.7,21.0,3.4,Moderate drizzle,Open-Meteo
1,2025-10-21,12.0,15.6,2.5,Moderate drizzle,Open-Meteo
1,2025-10-22,11.5,13.2,13.7,Light rain,Open-Meteo
1,2025-10-23,11.1,17.9,0.0,Cloudy,Open-Meteo
1,2025-10-24,12.5,16.8,3.7,Moderate drizzle,Open-Meteo
1,2025-10-25,12.2,14.5,9.9,Moderate rain,Open-Meteo
1,2025-10-26,14.1,18.2,11.1,Moderate rain,Open-Meteo
2,2025-10-20,26.2,32.1,0.5,Light drizzle,Open-Meteo
2,2025-10-21,25.1,33.0,7.2,Light rain,Open-Meteo
2,2025-10-22,24.9,34.3,8.7,Light rain,Open-Meteo
2,2025-10-23,24.4,31.9,13.3,Moderate rain,Open-Meteo
2,2025-10-24,24.0,30.2,12.0,Moderate rain,Open-Meteo
2,2025-10-25,24.7,31.9,0.0,Cloudy,Open-Meteo
2,2025-10-26,24.8,30.7,9.3,Moderate rain,Open-Meteo
3,2025-10-20,22.8,33.2,0.0,Clear,Open-Meteo
3,2025-10-21,23.3,30.5,0.4,Light drizzle,Open-Meteo
3,2025-10-22,22.1,32.2,0.0,Mainly clear,Open-Meteo
3,2025-10-23,20.3,31.9,0.0,Clear,Open-Meteo
3,2025-10-24,20.2,32.3,0.0,Clear,Open-Meteo
3,2025-10-25,19.8,31.8,0.0,Clear,Open-Meteo
3,2025-10-26,19.0,31.7,0.0,Cloudy,Open-Meteo
4,2025-10-20,19.4,29.1,0.0,Cloudy,Open-Meteo
4,2025-10-21,16.8,22.0,0.0,Cloudy,Open-Meteo
4,2025-10-22,15.7,18.0,7.1,Unknown,Open-Meteo
4,2025-10-23,16.1,22.8,0.1,Light drizzle,Open-Meteo
4,2025-10-24,19.2,24.0,0.0,Cloudy,Open-Meteo
4,2025-10-25,20.9,27.9,0.0,Cloudy,Open-Meteo
4,2025-10-26,19.2,29.6,0.0,Cloudy,Open-Meteo
5,2025-10-20,26.1,35.2,0.2,Light drizzle,Open-Meteo
5,2025-10-21,26.1,34.5,6.2,Light rain,Open-Meteo
5,2025-10-22,26.5,34.0,4.5,Moderate rain,Open-Meteo
5,2025-10-23,26.9,34.7,6.1,Moderate rain,Open-Meteo
5,2025-10-24,26.4,33.1,8.9,Moderate rain,Open-Meteo
5,2025-10-25,25.0,30.3,13.7,Moderate rain,Open-Meteo
5,2025-10-26,24.0,26.9,38.5,Moderate rain,Open-Meteo
6,2025-10-20,26.0,32.4,0.1,Light drizzle,Open-Meteo
6,2025-10-21,26.3,30.6,1.2,Light drizzle,Open-Meteo
6,2025-10-22,26.5,31.2,1.1,Light drizzle,Open-Meteo
6,2025-10-23,25.7,31.9,1.2,Light drizzle,Open-Meteo
6,2025-10-24,25.6,31.2,5.2,Light rain,Open-Meteo
6,2025-10-25,26.2,30.7,5.6,Moderate rain,Open-Meteo
6,2025-10-26,25.7,30.1,4.3,Moderate rain,Open-Meteo
7,2025-10-20,16.5,18.6,0.0,Cloudy,Open-Meteo
7,2025-10-21,15.8,18.1,0.2,Light drizzle,Open-Meteo
7,2025-10-22,14.3,19.1,0.0,Cloudy,Open-Meteo
7,2025-10-23,14.9,19.5,0.0,Cloudy,Open-Meteo
7,2025-10-24,15.8,21.1,0.0,Cloudy,Open-Meteo
7,2025-10-25,15.5,21.0,0.5,Light drizzle,Open-Meteo
7,2025-10-26,13.5,19.1,0.0,Cloudy,Open-Meteo
8,2025-10-20,10.8,16.8,0.5,Light drizzle,Open-Meteo
8,2025-10-21,9.9,20.1,0.0,Cloudy,Open-Meteo
8,2025-10-22,10.8,22.5,0.0,Mainly clear,Open-Meteo
8,2025-10-23,11.5,24.3,0.0,Cloudy,Open-Meteo
8,2025-10-24,12.8,26.7,0.0,Cloudy,Open-Meteo
8,2025-10-25,14.9,29.2,0.0,Cloudy,Open-Meteo
8,2025-10-26,17.7,32.5,0.1,Light drizzle,Open-Meteo
9,2025-10-20,4.6,15.0,0.1,Light drizzle,Open-Meteo
9,2025-10-21,5.3,14.0,0.0,Cloudy,Open-Meteo
9,2025-10-22,10.2,17.9,0.6,Light drizzle,Open-Meteo
9,2025-10-23,11.4,18.8,0.1,Light drizzle,Open-Meteo
9,2025-10-24,10.8,19.5,0.7,Light drizzle,Open-Meteo
9,2025-10-25,10.6,17.0,0.0,Cloudy,Open-Meteo
9,2025-10-26,2.7,14.7,0.0,Cloudy,Open-Meteo
10,2025-10-20,13.8,24.1,0.9,Light drizzle,Open-Meteo
10,2025-10-21,11.3,26.0,0.0,Cloudy,Open-Meteo
10,2025-10-22,12.7,24.4,0.6,Light drizzle,Open-Meteo
10,2025-10-23,12.6,25.8,0.1,Light drizzle,Open-Meteo
10,2025-10-24,12.2,25.8,0.0,Cloudy,Open-Meteo
10,2025-10-25,12.3,26.4,0.0,Mainly clear,Open-Meteo
10,2025-10-26,12.2,27.2,0.0,Cloudy,Open-Meteo
11,2025-10-20,25.4,35.3,0.0,Cloudy,Open-Meteo
11,2025-10-21,25.6,34.7,0.0,Clear,Open-Meteo
11,2025-10-22,25.4,33.8,0.0,Clear,Open-Meteo
11,2025-10-23,25.5,34.2,0.0,Clear,Open-Meteo
11,2025-10-24,25.6,34.6,0.0,Mainly clear,Open-Meteo
11,2025-10-25,25.8,34.1,0.0,Partly cloudy,Open-Meteo
11,2025-10-26,26.1,34.2,0.0,Partly cloudy,Open-Meteo
12,2025-10-20,18.9,33.1,0.0,Clear,Open-Meteo
12,2025-10-21,20.2,33.1,0.0,Clear,Open-Meteo
12,2025-10-22,21.6,34.1,0.0,Clear,Open-Meteo
12,2025-10-23,20.0,33.5,0.0,Partly cloudy,Open-Meteo
12,2025-10-24,19.4,32.3,0.0,Cloudy,Open-Meteo
12,2025-10-25,19.6,33.4,0.0,Clear,Open-Meteo
12,2025-10-26,20.8,30.8,0.0,Partly cloudy,Open-Meteo
13,2025-10-20,24.4,36.0,0.0,Clear,Open-Meteo
13,2025-10-21,23.8,36.0,0.0,Clear,Open-Meteo
13,2025-10-22,25.0,36.5,0.0,Clear,Open-Meteo
13,2025-10-23,24.4,36.0,0.0,Clear,Open-Meteo
13,2025-10-24,24.2,36.0,0.0,Clear,Open-Meteo
13,2025-10-25,25.0,36.2,0.0,Clear,Open-Meteo
13,2025-10-26,24.8,35.7,0.0,Mainly clear,Open-Meteo
